klc_index,kanji,heisig,english
2,一,one,one 
3,二,two,two 
4,三,three,three 
6,四,four,four 
7,五,five,five 
8,六,six,six 
9,七,seven,seven 
10,八,eight,eight 
11,九,nine,nine 
5,十,ten,ten 
19,口,mouth,mouth 
1,日,day,"day, sun, Japan "
23,月,month,"month, moon "
20,田,rice field,"rice field, rice paddy "
21,目,eye,"eye, class, look, insight, experience, care, favor "
254,古,old,old 
24,明,bright,"bright, light "
301,品,goods,"goods, refinement, dignity, article, counter for meal courses "
143,早,early,"early, fast "
604,世,generation,"generation, world, society, public "
81,自,oneself,oneself 
76,白,white,white 
16,百,hundred,hundred 
35,中,in,"in, inside, middle, mean, center "
17,千,thousand,thousand 
580,専,specialty,"specialty, exclusive, mainly, solely "
41,上,above,"above, up "
40,下,below,"below, down, descend, give, low, inferior "
145,朝,morning,"morning, dynasty, regime, epoch, period, (North) Korea "
317,員,employee,"employee, member, number, the one in charge "
83,見,see,"see, hopes, chances, idea, opinion, look at, visible "
136,元,beginning,"beginning, former time, origin "
829,負,defeat,"defeat, negative, -, minus, bear, owe, assume a responsibility "
18,万,ten thousand,ten thousand 
169,的,bull's eye,"bull's eye, mark, target, object, adjective ending "
839,直,straightaway,"straightaway, honesty, frankness, fix, repair "
837,具,tool,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture "
838,真,TRUE,"true, reality, Buddhist sect "
108,工,craft,"craft, construction "
401,左,left,left 
402,右,right,right 
400,有,possess,"possess, have, exist, happen, occur, approx "
86,切,cut,"cut, cutoff, be sharp "
625,則,rule,"rule, follow, based on, model after "
90,別,separate,"separate, branch off, diverge, fork, another, extra, specially "
437,丁,street,"street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign "
439,町,village,"village, town, block, street "
814,可,can,"can, passable, mustn't, should not, do not "
94,子,child,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac "
93,女,woman,"woman, female "
95,好,fond,"fond, pleasing, like something "
104,母,mama,"mama, mother "
1193,兄,elder brother,"elder brother, big brother "
34,小,little,"little, small "
677,少,few,"few, little "
33,大,large,"large, big "
267,多,many,"many, frequent, much "
265,夕,evening,evening 
266,外,outside,outside 
269,名,name,"name, noted, distinguished, reputation "
403,石,stone,stone 
295,器,utensil,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set "
22,川,stream,"stream, river "
27,水,water,water 
208,原,meadow,"meadow, original, primitive, field, plain, prairie, tundra, wilderness "
214,願,petition,"petition, request, vow, wish, hope "
209,源,source,"source, origin "
54,活,lively,"lively, resuscitation, being helped, living "
1289,消,extinguish,"extinguish, blow out, turn off, neutralize, cancel "
1201,況,but of course,"condition, situation "
1183,泊,overnight,"overnight, put up at, ride at anchor, 3-day stay "
30,土,soil,"soil, earth, ground, Turkey "
382,寺,Buddhist temple,Buddhist temple 
383,時,time,"time, hour "
394,均,level,"level, average "
26,火,fire,fire 
349,点,spot,"spot, point, mark, speck, decimal point "
492,魚,fish,fish 
535,黒,black,black 
538,量,quantity,"quantity, measure, weight, amount, consider, estimate, surmise "
182,同,same,"same, agree, equal "
183,向,yonder,"yonder, facing, beyond, confront, defy, tend toward, approach "
98,字,character,"character, letter, word, section of village "
633,完,perfect,"perfect, completion, end "
96,安,relax,"relax, cheap, low, quiet, rested, contented, peaceful "
28,木,tree,"tree, wood "
240,林,grove,"grove, forest "
241,森,forest,"forest, woods "
651,村,town,"town, village "
682,相,inter-,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy "
31,本,book,"book, present, main, true, real, counter for long things "
97,案,plan,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry "
271,未,not yet,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac "
272,末,extremity,"end, close, tip, powder, posterity "
273,味,flavor,"flavor, taste "
1206,妹,younger sister,younger sister 
567,株,stocks,"stocks, stump, shares, stock, counter for small plants "
404,若,young,"young, if, perhaps, possibly, low number, immature "
1827,兆,portent,"portent, 10**12, trillion, sign, omen, symptoms "
616,状,status quo,"status quo, conditions, circumstances, form, appearance "
760,然,sort of thing,"sort of thing, so, if so, in that case, well "
116,牛,cow,cow 
385,特,special,special 
698,告,revelation,"revelation, tell, inform, announce "
134,先,before,"before, ahead, previous, future, precedence "
612,界,world,world 
603,茶,tea,tea 
227,合,fit,"fit, suit, join, 0.1 "
706,現,present,"present, existing, actual "
78,全,whole,"whole, entire, all, complete, fulfill "
532,理,logic,"logic, arrangement, reason, justice, truth "
365,主,lord,"lord, chief, master, main thing, principal "
368,注,pour,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate "
29,金,gold,gold 
158,道,road-way,"road-way, street, district, journey, course, moral, teachings "
699,造,create,"create, make, structure, physique "
125,車,car,car 
582,連,take along,"take along, lead, join, connect, party, gang, clique "
113,前,in front,"in front, before "
786,各,each,"each, every, either "
789,格,status,"status, rank, capacity, character, case (law, grammar) "
787,客,guest,"guest, visitor, customer, client "
1929,額,forehead,"forehead, tablet, plaque, framed picture, sum, amount, volume "
363,夏,summer,summer 
584,運,carry,"carry, luck, destiny, fate, lot, transport, progress, advance "
185,高,tall,"tall, high, expensive "
245,京,capital,"capital, 10**16 "
305,週,week,week 
353,売,sell,sell 
99,学,study,"study, learning, science "
325,覚,memorize,"memorize, learn, remember, awake, sober up "
79,書,write,write 
830,敗,failure,"failure, defeat, reversal "
1695,枚,sheet of,"sheet of..., counter for flat thin objects or sheets "
257,故,happenstance,"happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently "
51,言,say,say 
555,計,plot,"plot, plan, scheme, measure "
53,話,tale,"tale, talk "
222,語,word,"word, speech, language "
355,読,read,read 
306,調,tune,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate "
1977,談,discuss,"discuss, talk "
109,式,style,"style, ceremony, rite, function, method, system, form, expression "
1028,試,test,"test, try, attempt, experiment, ordeal "
70,成,turn into,"turn into, become, get, grow, elapse, reach "
1148,減,dwindle,"dwindle, decrease, reduce, decline, curtail, get hungry "
42,止,stop,"stop, halt "
679,歩,walk,"walk, counter for steps "
502,企,undertake,"undertake, scheme, design, attempt, plan "
43,正,correct,"correct, justice, righteous, 10**40 "
550,証,evidence,"evidence, proof, certificate "
45,定,determine,"determine, fix, establish, decide "
140,走,run,run 
1681,題,topic,"topic, subject "
857,遠,distant,"distant, far "
710,初,first time,"first time, beginning "
205,市,market,"market, city, town "
1205,姉,elder sister,elder sister 
708,制,system,"system, law, rule "
709,製,made in...,"made in..., manufacture "
224,転,revolve,"revolve, turn around, change "
225,芸,technique,"technique, art, craft, performance, acting, trick, stunt "
154,雨,rain,rain 
360,冬,winter,winter 
270,天,heavens,"heavens, sky, imperial "
67,立,stand up,stand up 
351,商,make a deal,"make a deal, selling, dealing in, merchant "
122,北,north,north 
105,毎,every,every 
106,海,sea,"sea, ocean "
863,複,duplicate,"duplicate, double, compound, multiple "
277,欠,lack,"lack, gap, fail "
827,歌,song,"song, sing "
278,次,next,"next, order, sequence "
1165,資,assets,"assets, resources, capital, funds, data, be conducive to, contribute to "
150,音,sound,"sound, noise "
1593,暗,darkness,"darkness, disappear, shade, informal, grow dark, be blinded "
1089,識,discriminating,"discriminating, know, write "
233,亡,deceased,"deceased, the late, dying, perish "
173,方,direction,"direction, person, alternative "
